ip	name
10.110.1.249	Lo100.Service.DOP-ROB-DEDUS101
100.64.246.2	Po11_700.Service.DOP-ROB-DEDUS101
100.64.254.128	Eth1-8_1.Service.DOP-ROB-DEDUS101
100.70.5.35	Eth1-8_4.TOOLS.DOP-ROB-DEDUS101
10.110.9.146	Lo999.VRF-OoB.DOP-ROB-DEDUS101
10.110.9.143	Eth1-8_2.VRF-OoB.DOP-ROB-DEDUS101
100.100.100.2	Eth1-8.default.DOP-ROB-DEDUS102
100.64.252.77	Lo2.DG_INTERN.DOP-ROB-DEDUS102
100.64.252.83	Po11_701.DG_INTERN.DOP-ROB-DEDUS102
100.64.252.75	Eth1-8_3.DG_INTERN.DOP-ROB-DEDUS102
10.110.1.250	Lo100.Service.DOP-ROB-DEDUS102
100.64.246.3	Po11_700.Service.DOP-ROB-DEDUS102
100.64.254.131	Eth1-8_1.Service.DOP-ROB-DEDUS102
10.110.9.147	Lo999.VRF-OoB.DOP-ROB-DEDUS102
10.110.9.145	Eth1-8_2.VRF-OoB.DOP-ROB-DEDUS102
10.110.1.252	Lo0.default.DOP-ROB-DEIXN101
10.110.1.102	Lo1.default.DOP-ROB-DEIXN101
100.100.100.100	Lo4.default.DOP-ROB-DEIXN101
10.110.8.20	Po1111.default.DOP-ROB-DEIXN101
10.110.8.4	Eth1-1.default.DOP-ROB-DEIXN101
10.110.8.9	Eth1-2.default.DOP-ROB-DEIXN101
10.110.8.12	Eth1-3.default.DOP-ROB-DEIXN101
100.64.251.4	Eth1-10_3.default.DOP-ROB-DEIXN101
10.110.10.0	Eth1-35.default.DOP-ROB-DEIXN101
10.110.10.2	Eth1-36.default.DOP-ROB-DEIXN101
100.70.1.11	Lo3.DGES_DCI.DOP-ROB-DEIXN101
100.70.1.6	Eth1-1_4.DGES_DCI.DOP-ROB-DEIXN101
100.70.1.3	Eth1-2_4.DGES_DCI.DOP-ROB-DEIXN101
100.70.1.24	Eth1-4.DGES_DCI.DOP-ROB-DEIXN101
100.70.1.26	Eth1-5.DGES_DCI.DOP-ROB-DEIXN101
100.70.1.44	Eth1-6_4.DGES_DCI.DOP-ROB-DEIXN101
100.70.1.46	Eth1-7_4.DGES_DCI.DOP-ROB-DEIXN101
100.64.252.11	Lo2.DG_INTERN.DOP-ROB-DEIXN101
100.64.252.6	Eth1-1_3.DG_INTERN.DOP-ROB-DEIXN101
100.64.252.3	Eth1-2_3.DG_INTERN.DOP-ROB-DEIXN101
100.64.252.40	Eth1-6_3.DG_INTERN.DOP-ROB-DEIXN101
100.64.252.42	Eth1-7_3.DG_INTERN.DOP-ROB-DEIXN101
100.64.252.72	Eth1-8_3.DG_INTERN.DOP-ROB-DEIXN101
100.64.252.28	Eth1-10_4.DG_INTERN.DOP-ROB-DEIXN101
100.70.0.1	Eth1-12_1.DG_INTERN.DOP-ROB-DEIXN101
100.70.3.35	Lo5.OPS-MGMT.DOP-ROB-DEIXN101
100.70.3.6	Eth1-1_5.OPS-MGMT.DOP-ROB-DEIXN101
100.70.3.3	Eth1-2_5.OPS-MGMT.DOP-ROB-DEIXN101
100.70.3.10	Eth1-3_5.OPS-MGMT.DOP-ROB-DEIXN101
100.70.3.24	Eth1-10_6.OPS-MGMT.DOP-ROB-DEIXN101
10.110.1.244	Lo100.Service.DOP-ROB-DEIXN101
100.64.254.4	Eth1-1_1.Service.DOP-ROB-DEIXN101
100.64.254.9	Eth1-2_1.Service.DOP-ROB-DEIXN101
100.64.254.12	Eth1-3_1.Service.DOP-ROB-DEIXN101
100.64.253.28	Eth1-6_2.Service.DOP-ROB-DEIXN101
100.64.253.30	Eth1-7_2.Service.DOP-ROB-DEIXN101
100.64.254.129	Eth1-8_1.Service.DOP-ROB-DEIXN101
100.64.253.11	Eth1-10_2.Service.DOP-ROB-DEIXN101
100.70.0.9	Eth1-12_2.Service.DOP-ROB-DEIXN101
100.70.5.19	Lo600.TOOLS.DOP-ROB-DEIXN101
100.70.5.6	Eth1-1_6.TOOLS.DOP-ROB-DEIXN101
100.70.5.3	Eth1-2_6.TOOLS.DOP-ROB-DEIXN101
100.70.5.10	Eth1-3_6.TOOLS.DOP-ROB-DEIXN101
100.70.5.34	Eth1-8_4.TOOLS.DOP-ROB-DEIXN101
100.70.5.24	Eth1-10_7.TOOLS.DOP-ROB-DEIXN101
10.110.9.4	Eth1-1_2.VRF-OoB.DOP-ROB-DEIXN101
10.110.9.9	Eth1-2_2.VRF-OoB.DOP-ROB-DEIXN101
10.110.9.12	Eth1-3_2.VRF-OoB.DOP-ROB-DEIXN101
10.110.9.142	Eth1-8_2.VRF-OoB.DOP-ROB-DEIXN101
10.110.9.134	Eth1-10_5.VRF-OoB.DOP-ROB-DEIXN101
